icpsr,candidate,chamber,state_dist,cand_party,party_code,candidate_is_incumbent,location,partisanship,incumbent_rep,incumbent_party,incumbent_elected,incumbent_status,congress,bioname,bioguide_id,born,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,nokken_poole_dim1,nokken_poole_dim2,senate_class,new_class_code_senate,text_stem,screen_name,official_screen_name,alternate_names,first_name,special_name,candidate_encoding_issues,GeneralElec
21900,Colin Allred,House,TX-32,D,100,1,Texas 32,R+5,Colin Allred,Democratic,2018,Incumbent running.,NA,"ALLRED, Colin",A000376,1983,-0.443,0.639,-36.97345,0.946,666,17,-0.443,0.639,NA,NA,TX-32-allred_colin-,@ColinAllredTX,@RepColinAllred,Colin Allred,Colin,first_last,NA,
29127,Collin Peterson,House,MN-07,D,100,1,Minnesota 7,R+12,Collin Peterson,Democratic,1990,Incumbent running.,NA,"PETERSON, Collin Clark",P000258,1944,-0.148,0.712,-187.44615,0.75784,676,93,-0.183,0.831,NA,NA,MN-07-peterson_collin-,@collinpeterson,NA,Collin Peterson,Collin,first_last,NA,
430210003,Connor Oswald,House,FL-02,D,100,0,Florida 2,R+18,Neal Dunn,Republican,2016,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FL-02-oswald_connor-,@Oswald4FL2,NA,Connor Oswald,Connor,first_last,NA,
21756,Conor Lamb,House,PA-17,D,100,1,Pennsylvania 17,R+3,Conor Lamb,Democratic,2018 (Special),Incumbent running.,NA,"LAMB, Conor",L000588,1984,-0.119,0.137,-92.83764,0.87273,682,39,-0.144,0.241,NA,NA,PA-17-lamb_conor-,@ConorLambPA,@RepConorLamb,Conor Lamb,Conor,first_last,NA,
640020006,Corey Stapleton,House,MT-00,R,200,0,Montana at-large,R+11,Greg Gianforte,Republican,2017 (Special),Incumbent retiring to run for Governor of Montana.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MT-00-stapleton_corey-,@Stapleton_MT,NA,Corey Stapleton,Corey,first_last,NA,
540910003,Corey Strong,House,TN-09,D,100,0,Tennessee 9,D+28,Steve Cohen,Democratic,2006,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TN-09-strong_corey-,@The901Strong,NA,Corey Strong,Corey,first_last,NA,
340110001,Cori Bush,House,MO-01,D,100,0,Missouri 1,D+29,Lacy Clay,Democratic,2000,Incumbent's intent unknown.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MO-01-bush_cori-,@CoriBush,NA,Cori Bush,Cori,first_last,NA,
670120005,Cory Green,House,UT-01,R,200,0,Utah 1,R+26,Rob Bishop,Republican,2002,Incumbent retiring.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UT-01-green_cory-,NA,NA,Cory Green,Cory,first_last,NA,
650320002,Cory Newberry,House,NV-03,R,200,0,Nevada 3,R+2,Susie Lee,Democratic,2018,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NV-03-newberry_cory-,@Newberry4NV,NA,Cory Newberry,Cory,first_last,NA,
432432804,Courtney Omega-Turner,House,FL-24,L,328,0,Florida 24,D+34,Frederica Wilson,Democratic,2010,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FL-24-omega-turner_courtney-,NA,NA,Courtney Omega-Turner,Courtney,first_last,NA,
210720001,Craig Cameron,House,IL-07,R,200,0,Illinois 7,D+38,Danny Davis,Democratic,1996,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IL-07-cameron_craig-,@CraigCameron07,NA,Craig Cameron,Craig,first_last,NA,
400720001,Craig Ennis,House,VA-07,R,200,0,Virginia 7,R+6,Abigail Spanberger,Democratic,2018,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VA-07-ennis_craig-,@CraigEnnis12,NA,Craig Ennis,Craig,first_last,NA,
211510006,Craig Morton,House,IL-15,D,100,0,Illinois 15,R+21,John Shimkus,Republican,1996,Incumbent retiring.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IL-15-morton_craig-,@mortonforil,NA,Craig Morton,Craig,first_last,NA,
60032801,Cris Ericson,House,VT-00,I,328,0,Vermont at-large,D+15,Peter Welch,Democratic,2006,Incumbent's intent unknown.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VT-00-ericson_cris-,NA,NA,Cris Ericson,Cris,first_last,NA,
711410001,Cristos Goodrow,House,CA-14,D,100,0,California 14,D+27,Jackie Speier,Democratic,2008 (Special),Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CA-14-goodrow_cristos-,@CristosGoodrow,NA,Cristos Goodrow,Cristos,first_last,NA,
470910004,Cynthia Wallace,House,NC-09,D,100,0,North Carolina 9,R+7,Dan Bishop,Republican,2019 (Special),Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC-09-wallace_cynthia-,@WallaceCongress,NA,Cynthia Wallace,Cynthia,first_last,NA,
220910001,D. Liam Dorris,House,IN-09,D,100,0,Indiana 9,R+13,Trey Hollingsworth,Republican,2016,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IN-09-dorris_dliam-,@DLiamDorris,NA,Liam Dorris,Liam,first_init,NA,
20220003,Dale Crafts,House,ME-02,R,200,0,Maine 2,R+2,Jared Golden,Democratic,2018,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ME-02-crafts_dale-,@DaleCraftsME,NA,Dale Crafts,Dale,first_last,NA,
710220004,Dale K. Mensing,House,CA-02,R,200,0,California 2,D+22,Jared Huffman,Democratic,2012,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CA-02-mensing_dale-,@MensingDale,NA,Dale Mensing,Dale,mid_init,NA,
330520002,Dalia al-Aqidi,House,MN-05,R,200,0,Minnesota 5,D+26,Ilhan Omar,Democratic,2018,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MN-05-al-aqidi_dalia-,@Dalia4Congress,NA,Dalia al-Aqidi,Dalia,first_last,NA,
530520003,Dan Belcher,House,OK-05,R,200,0,Oklahoma 5,R+10,Kendra Horn,Democratic,2018,Incumbent's intent unknown.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OK-05-belcher_dan-,NA,NA,Dan Belcher,Dan,first_last,NA,
21986,Dan Bishop,House,NC-09,R,200,1,North Carolina 9,R+7,Dan Bishop,Republican,2019 (Special),Incumbent running.,NA,"BISHOP, Dan",B001311,1964,0.865,0.066,-15.99151,0.92088,194,7,0.861,0.062,NA,NA,NC-09-bishop_dan-,@jdanbishop,@RepDanBishop,Dan Bishop,Dan,first_last,NA,
21911,Dan Crenshaw,House,TX-02,R,200,1,Texas 2,R+11,Dan Crenshaw,Republican,2018,Incumbent running.,NA,"CRENSHAW, Daniel",C001120,1984,0.392,0.382,-75.87743,0.89338,673,33,0.392,0.381,NA,NA,TX-02-crenshaw_dan-,@DanCrenshawTX,@RepDanCrenshaw,Dan Crenshaw,Dan,first_last,NA,
471120009,Dan Driscoll,House,NC-11,R,200,0,North Carolina 11,R+9,Mark Meadows,Republican,2012,Incumbent retiring.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC-11-driscoll_dan-,NA,NA,Dan Driscoll,Dan,first_last,NA,
330110002,Dan Feehan,House,MN-01,D,100,0,Minnesota 1,R+5,Jim Hagedorn,Republican,2018,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MN-01-feehan_dan-,@danielfeehan,NA,Dan Feehan,Dan,first_last,NA,
520710011,Dan Hiegel,House,MD-07,D,100,0,Maryland 7,D+26,Vacant,Vacant,2020,Incumbent unknown.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MD-07-hiegel_dan-,NA,NA,Dan Hiegel,Dan,first_last,NA,
493110006,Dan Janjigian,House,TX-31,D,100,0,Texas 31,R+10,John Carter,Republican,2002,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TX-31-janjigian_dan-,@DanJan4Congress,NA,Dan Janjigian,Dan,first_last,NA,
21372,Dan Kildee,House,MI-05,D,100,1,Michigan 5,D+5,Dan Kildee,Democratic,2012,Incumbent's intent unknown.,NA,"KILDEE, Dan",K000380,1958,-0.395,-0.215,-12.43175,0.98199,684,4,-0.46,-0.311,NA,NA,MI-05-kildee_dan-,@dankildee,@RepDanKildee,Dan Kildee,Dan,first_last,NA,
20508,Dan Lipinski,House,IL-03,D,100,1,Illinois 3,D+6,Dan Lipinski,Democratic,2004,Incumbent running.,NA,"LIPINSKI, Daniel",L000563,1966,-0.229,0.178,-82.78643,0.88328,667,23,-0.153,0.05,NA,NA,IL-03-lipinski_dan-,@DanLipinski,@RepLipinski,Dan Lipinski,Dan,first_last,NA,
492220008,Dan Mathews,House,TX-22,R,200,0,Texas 22,R+10,Pete Olson,Republican,2008,Incumbent retiring.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TX-22-mathews_dan-,NA,NA,Dan Mathews,Dan,first_last,NA,0
21945,Dan Meuser,House,PA-09,R,200,1,Pennsylvania 9,R+14,Dan Meuser,Republican,2018,Incumbent's intent unknown.,NA,"MEUSER, Dan",M001204,1964,0.569,0.358,-82.84639,0.88119,655,37,0.57,0.354,NA,NA,PA-09-meuser_dan-,@Meuser4Congress,@RepMeuser,Dan Meuser,Dan,first_last,NA,
21556,Dan Newhouse,House,WA-04,R,200,1,Washington 4,R+13,Dan Newhouse,Republican,2014,Incumbent's intent unknown.,NA,"NEWHOUSE, Daniel Milton",N000189,1955,0.349,0.236,-89.43319,0.87591,675,39,0.325,0.3,NA,NA,WA-04-newhouse_dan-,@RepNewhouse,NA,Dan Newhouse,Dan,first_last,NA,
650320005,Dan Schwartz,House,NV-03,R,200,0,Nevada 3,R+2,Susie Lee,Democratic,2018,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NV-03-schwartz_dan-,@Dan4Nevada,NA,Dan Schwartz,Dan,first_last,NA,
431920011,Dan Severson,House,FL-19,R,200,0,Florida 19,R+13,Francis Rooney,Republican,2016,Incumbent retiring.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FL-19-severson_dan-,@SeversonForCD19,NA,Dan Severson,Dan,first_last,NA,
540120010,Dan Street,House,TN-01,R,200,0,Tennessee 1,R+28,Phil Roe,Republican,2008,Incumbent retiring.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TN-01-street_dan-,NA,NA,Dan Street,Dan,first_last,NA,
440910006,Dan Wilson,House,GA-09,D,100,0,Georgia 9,R+31,Doug Collins,Republican,2012,Incumbent retiring to run for U.S. senator.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GA-09-wilson_dan-,@congress_dan,NA,Dan Wilson,Dan,first_last,NA,
132410001,Dana Balter,House,NY-24,D,100,0,New York 24,D+3,John Katko,Republican,2014,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NY-24-balter_dana-,@dana_balter,NA,Dana Balter,Dana,first_last,NA,
441110001,Dana Barrett,House,GA-11,D,100,0,Georgia 11,R+17,Barry Loudermilk,Republican,2014,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GA-11-barrett_dana-,@TheDanaBarrett,NA,Dana Barrett,Dana,first_last,NA,
431110001,Dana Cottrell,House,FL-11,D,100,0,Florida 11,R+15,Daniel Webster,Republican,2010,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FL-11-cottrell_dana-,@DanaforCongress,NA,Dana Cottrell,Dana,first_last,NA,
230110002,Dana Ferguson,House,MI-01,D,100,0,Michigan 1,R+9,Jack Bergman,Republican,2016,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MI-01-ferguson_dana-,@FergusonforMI1,NA,Dana Ferguson,Dana,first_last,NA,
431920005,Dane Eagle,House,FL-19,R,200,0,Florida 19,R+13,Francis Rooney,Republican,2016,Incumbent retiring.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FL-19-eagle_dane-,@DaneEagle,NA,Dane Eagle,Dane,first_last,NA,
720310006,Dane Wilcox,House,OR-03,D,100,0,Oregon 3,D+24,Earl Blumenauer,Democratic,1996,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OR-03-wilcox_dane-,@GoForDW,NA,Dane Wilcox,Dane,first_last,NA,
211610001,Dani Brzozowski,House,IL-16,D,100,0,Illinois 16,R+8,Adam Kinzinger,Republican,2010,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IL-16-brzozowski_dani-,@DaniForCongress,NA,Dani Brzozowski,Dani,first_last,NA,
130332802,Daniel Craig Ross,House,NY-03,I,328,0,New York 3,D+1,Tom Suozzi,Democratic,2016,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NY-03-ross_danielcraig-,NA,NA,Daniel Ross,Daniel,mid_name,NA,
510610004,Daniel Kemph,House,KY-06,D,100,0,Kentucky 6,R+9,Andy Barr,Republican,2012,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KY-06-kemph_daniel-,@Kemph2020,NA,Daniel Kemph,Daniel,first_last,NA,
241510002,Daniel Kilgore,House,OH-15,D,100,0,Ohio 15,R+7,Steve Stivers,Republican,2010,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OH-15-kilgore_daniel-,@KilgoreOH15,NA,Daniel Kilgore,Daniel,first_last,NA,
712520008,Daniel Mercuri,House,CA-25,R,200,0,California 25,EVEN,Vacant,Vacant,2020 (Special),Incumbent unknown.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CA-25-mercuri_daniel-,NA,NA,Daniel Mercuri,Daniel,first_last,NA,
440120002,Daniel Merritt,House,GA-01,R,200,0,Georgia 1,R+9,Buddy Carter,Republican,2014,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GA-01-merritt_daniel-,@MerrittForGA,NA,Daniel Merritt,Daniel,first_last,NA,
650320004,Daniel Rodimer,House,NV-03,R,200,0,Nevada 3,R+2,Susie Lee,Democratic,2018,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NV-03-rodimer_daniel-,@DanRodimer,NA,Daniel Rodimer,Daniel,first_last,NA,
141610005,Daniel Smith Jr.,House,PA-16,D,100,0,Pennsylvania 16,R+8,Mike Kelly,Republican,2010,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PA-16-smithjr_daniel-,@danielforpa,NA,Daniel Smith,Daniel,junior,NA,
441210003,Daniel Steiner,House,GA-12,D,100,0,Georgia 12,R+9,Rick Allen,Republican,2014,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GA-12-steiner_daniel-,@SteinerCongress,NA,Daniel Steiner,Daniel,first_last,NA,
470410001,Daniel Ulysses Lockwood,House,NC-04,D,100,0,North Carolina 4,D+14,David Price,Democratic,1996,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC-04-lockwood_danielulysses-,@Lockwood4NC,NA,Daniel Lockwood,Daniel,mid_name,NA,
21116,Daniel Webster,House,FL-11,R,200,1,Florida 11,R+15,Daniel Webster,Republican,2010,Incumbent running.,NA,"WEBSTER, Daniel A.",W000806,1949,0.509,-0.051,-142.91135,0.80043,642,76,0.574,-0.19,NA,NA,FL-11-webster_daniel-,@WebsterCongress,@RepWebster,Daniel Webster,Daniel,first_last,NA,
610320003,Daniel Wood,House,AZ-03,R,200,0,Arizona 3,D+13,Raul Grijalva,Democratic,2002,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AZ-03-wood_daniel-,@DWood4Wongress,NA,Daniel Wood,Daniel,first_last,NA,
330520009,Danielle Stella,House,MN-05,R,200,0,Minnesota 5,D+26,Ilhan Omar,Democratic,2018,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MN-05-stella_danielle-,NA,NA,Danielle Stella,Danielle,first_last,NA,
491210001,Danny Anderson,House,TX-12,D,100,0,Texas 12,R+18,Kay Granger,Republican,1996,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TX-12-anderson_danny-,NA,NA,Danny Anderson,Danny,first_last,NA,
670410002,Danny Beckstrand,House,UT-04,D,100,0,Utah 4,R+13,Ben McAdams,Democratic,2018,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UT-04-beckstrand_danny-,@Beckstrand2020,NA,Danny Beckstrand,Danny,first_last,NA,
29717,Danny Davis,House,IL-07,D,100,1,Illinois 7,D+38,Danny Davis,Democratic,1996,Incumbent running.,NA,"DAVIS, Danny K.",D000096,1941,-0.486,-0.264,-10.0764,0.98498,666,1,-0.519,-0.437,NA,NA,IL-07-davis_danny-,@DannyKDavis7th,@RepDannyDavis,Danny Davis,Danny,first_last,NA,
220520016,Danny Niederberger,House,IN-05,R,200,0,Indiana 5,R+9,Susan Brooks,Republican,2012,Incumbent retiring.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IN-05-niederberger_danny-,@DN_for_Congress,NA,Danny Niederberger,Danny,first_last,NA,
530210001,Danyell Lanier,House,OK-02,D,100,0,Oklahoma 2,R+24,Markwayne Mullin,Republican,2012,Incumbent's intent unknown.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OK-02-lanier_danyell-,@danyell_lanier,NA,Danyell Lanier,Danyell,first_last,NA,
21562,Darin LaHood,House,IL-18,R,200,1,Illinois 18,R+15,Darin LaHood,Republican,2015 (Special),Incumbent running.,NA,"LaHOOD, Darin",L000585,1968,0.463,0.158,-78.82953,0.88677,656,29,0.473,0.31,NA,NA,IL-18-lahood_darin-,@ElectLaHood,@RepLaHood,Darin LaHood,Darin,first_last,NA,
432220001,Darlene Swaffar,House,FL-22,R,200,0,Florida 22,D+6,Ted Deutch,Democratic,2010 (Special),Incumbent's intent unknown.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FL-22-swaffar_darlene-,@swaffarcongress,NA,Darlene Swaffar,Darlene,first_last,NA,
715020006,Darrell Issa,House,CA-50,R,200,0,California 50,R+11,Vacant,Vacant,2020,Incumbent unknown.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CA-50-issa_darrell-,@TeamIssa,NA,Darrell Issa,Darrell,first_last,NA,
431920001,Darren Aquino,House,FL-19,R,200,0,Florida 19,R+13,Francis Rooney,Republican,2016,Incumbent retiring.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FL-19-aquino_darren-,@aquino4congress,NA,Darren Aquino,Darren,first_last,NA,
211520001,Darren Duncan,House,IL-15,R,200,0,Illinois 15,R+21,John Shimkus,Republican,1996,Incumbent retiring.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IL-15-duncan_darren-,NA,NA,Darren Duncan,Darren,first_last,NA,
21746,Darren Soto,House,FL-09,D,100,1,Florida 9,D+5,Darren Soto,Democratic,2016,Incumbent running.,NA,"SOTO, Darren Michael",S001200,1978,-0.38,0.118,-15.08152,0.978,678,5,-0.368,-0.042,NA,NA,FL-09-soto_darren-,@DarrenSoto,@RepDarrenSoto,Darren Soto,Darren,first_last,NA,
520710009,Darryl Gonzalez,House,MD-07,D,100,0,Maryland 7,D+26,Vacant,Vacant,2020,Incumbent unknown.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MD-07-gonzalez_darryl-,NA,NA,Darryl Farrow,Darryl,first_last,NA,
131010003,Darryl Hendricks,House,NY-10,D,100,0,New York 10,D+26,Jerrold Nadler,Democratic,1992,Incumbent's intent unknown.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NY-10-hendricks_darryl-,@Dph2020,NA,Darryl Gonzalez,Darryl,first_last,NA,
492320003,Darwin Boedeker,House,TX-23,R,200,0,Texas 23,R+1,Will Hurd,Republican,2014,Incumbent retiring.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TX-23-boedeker_darwin-,@darwinfor23,NA,Darryl Hendricks,Darryl,first_last,NA,
712210005,Dary Rezvani,House,CA-22,D,100,0,California 22,R+8,Devin Nunes,Republican,2002,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CA-22-rezvani_dary-,@DaryRezvani,NA,Darwin Boedeker,Darwin,first_last,NA,
470310001,Daryl Farrow,House,NC-03,D,100,0,North Carolina 3,R+12,Greg Murphy,Republican,2019 (Special),Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC-03-farrow_daryl-,NA,NA,Dary Rezvani,Dary,first_last,NA,
231420002,Daryle Houston,House,MI-14,R,200,0,Michigan 14,D+30,Brenda Lawrence,Democratic,2014,Incumbent's intent unknown.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MI-14-houston_daryle-,@dfhforcongress,NA,Daryle Houston,Daryle,first_last,NA,
140520002,Dasha Pruett,House,PA-05,R,200,0,Pennsylvania 5,D+13,Mary Gay Scanlon,Democratic,2018,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PA-05-pruett_dasha-,@PruettDasha,NA,Dasha Pruett,Dasha,first_last,NA,
610920004,Dave Giles,House,AZ-09,R,200,0,Arizona 9,D+4,Greg Stanton,Democratic,2018,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AZ-09-giles_dave-,@VoteGiles,NA,Dave Giles,Dave,first_last,NA,
330720005,Dave Hughes,House,MN-07,R,200,0,Minnesota 7,R+12,Collin Peterson,Democratic,1990,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MN-07-hughes_dave-,@DHughesCongress,NA,Dave Hughes,Dave,first_last,NA,
130410001,Dave LeBlanc,House,NY-04,D,100,0,New York 4,D+4,Kathleen Rice,Democratic,2014,Incumbent's intent unknown.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NY-04-leblanc_dave-,NA,NA,Dave LeBlanc,Dave,first_last,NA,
620732802,Dave Olszta,House,CO-07,U,328,0,Colorado 7,D+6,Ed Perlmutter,Democratic,2006,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CO-07-olszta_dave-,NA,NA,Dave Olszta,Dave,first_last,NA,
231320001,David Anthony Dudenhoefer,House,MI-13,R,200,0,Michigan 13,D+32,Rashida Tlaib,Democratic,2018,Incumbent's intent unknown.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MI-13-dudenhoefer_davidanthony-,@Dude4Liberty,NA,David Dudenhoefer,David,mid_name,NA,
120410001,David Applefield,House,NJ-04,D,100,0,New Jersey 4,R+8,Chris Smith,Republican,1980,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NJ-04-applefield_david-,@David4NJ4,NA,David Applefield,David,first_last,NA,
131710002,David Buchwald,House,NY-17,D,100,0,New York 17,D+7,Nita Lowey,Democratic,1988,Incumbent retiring.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NY-17-buchwald_david-,@DavidBuchwald,NA,David Buchwald,David,first_last,NA,
131710003,David Carlucci,House,NY-17,D,100,0,New York 17,D+7,Nita Lowey,Democratic,1988,Incumbent retiring.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NY-17-carlucci_david-,@DavidCarlucci,NA,David Carlucci,David,first_last,NA,
30410002,David Cavell,House,MA-04,D,100,0,Massachusetts 4,D+9,Joe Kennedy III,Democratic,2012,Incumbent retiring to run for U.S. senator.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MA-04-cavell_david-,@DavidFCavell,NA,David Cavell,David,first_last,NA,
21172,David Cicilline,House,RI-01,D,100,1,Rhode Island 1,D+16,David Cicilline,Democratic,2010,Incumbent's intent unknown.,NA,"CICILLINE, David N.",C001084,1961,-0.391,-0.283,-20.4187,0.97038,679,7,-0.427,-0.204,NA,NA,RI-01-cicilline_david-,@davidcicilline,@RepCicilline,David Cicilline,David,first_last,NA,
820210001,David Cornejo,House,HI-02,D,100,0,Hawaii 2,D+19,Tulsi Gabbard,Democratic,2012,Incumbent retiring to run for U.S. president.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HI-02-cornejo_david-,@dcornejo,NA,David Cornejo,David,first_last,NA,
492420003,David Fegan,House,TX-24,R,200,0,Texas 24,R+9,Kenny Marchant,Republican,2004,Incumbent retiring.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TX-24-fegan_david-,@DCfegan,NA,David Fegan,David,first_last,NA,
131510006,David Franks,House,NY-15,D,100,0,New York 15,D+44,Jose Serrano,Democratic,1990,Incumbent retiring.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NY-15-franks_david-,NA,NA,David Franks,David,first_last,NA,
130132804,David Gokshtein,House,NY-01,I,328,0,New York 1,R+5,Lee Zeldin,Republican,2014,Incumbent',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NY-01-gokshtein_david-,NA,NA,David Gokshtein,David,first_last,NA,
530520005,David Greene,House,OK-05,R,200,0,Oklahoma 5,R+10,Kendra Horn,Democratic,2018,Incumbent's intent unknown.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OK-05-greene_david-,NA,NA,David Greene,David,first_last,NA,
530520006,David Hill,House,OK-05,R,200,0,Oklahoma 5,R+10,Kendra Horn,Democratic,2018,Incumbent's intent unknown.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OK-05-hill_david-,@DavidHillOK,NA,David Hill,David,first_last,NA,
431910009,David Holden,House,FL-19,D,100,0,Florida 19,R+13,Francis Rooney,Republican,2016,Incumbent retiring.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FL-19-holden_david-,@holden4florida,NA,David Holden,David,first_last,NA,
